sottcID,ComplexID,MimotopeSetID,sottcComments
115,55,185,NULL
116,56,185,NULL
117,57,384,NULL
118,58,1004,NULL
119,58,1061,NULL
120,58,1062,NULL
121,58,1063,NULL
122,61,1230,NULL
123,8,1231,NULL
124,63,1489,NULL
125,63,1490,NULL
126,63,1491,NULL
127,64,1652,NULL
128,64,1653,NULL
129,65,1654,NULL
130,65,1655,NULL
131,65,1656,NULL
132,65,1657,NULL
133,67,1759,NULL
134,68,1776,NULL
135,69,1778,NULL
136,69,1779,NULL
137,68,1790,NULL
138,70,1816,NULL
139,71,1816,NULL
140,72,1816,NULL
141,73,1816,NULL
142,74,1816,NULL
143,75,1816,NULL
144,76,1816,NULL
145,77,1816,NULL
146,78,1816,NULL
147,79,1816,NULL
148,80,1816,NULL
149,81,1816,NULL
150,82,1816,NULL
151,83,1816,NULL
152,84,1816,NULL
153,85,1816,NULL
154,86,1816,NULL
155,87,1816,NULL
156,88,1816,NULL
157,89,1816,NULL
158,90,1816,NULL
159,91,1816,NULL
160,92,1816,NULL
161,93,1816,NULL
162,94,1816,NULL
163,95,1816,NULL
164,96,1816,NULL
165,97,1816,NULL
166,98,1816,NULL
167,99,1817,NULL
168,105,1818,NULL
169,111,742,NULL
170,112,742,NULL
171,113,742,NULL
172,114,742,NULL
173,115,742,NULL
174,116,742,NULL
175,117,742,NULL
176,118,742,NULL
177,119,742,NULL
178,120,742,NULL
179,121,742,NULL
180,122,742,NULL
181,123,742,NULL
182,124,1386,NULL
183,124,1387,NULL
184,125,1388,NULL
185,125,1389,NULL
186,125,1390,NULL
187,125,1391,NULL
188,12,1443,NULL
189,12,1444,NULL
190,65,1456,NULL
191,126,1448,NULL
192,127,1448,NULL
193,128,1448,NULL
194,129,567,NULL
195,130,567,NULL
196,131,567,NULL
197,132,567,NULL
198,133,567,NULL
199,134,567,NULL
200,135,567,NULL
201,136,567,NULL
202,137,567,NULL
203,138,567,NULL
204,139,567,NULL
205,140,567,NULL
206,141,567,NULL
207,142,567,NULL
208,143,567,NULL
209,144,567,NULL
210,145,567,NULL
211,146,567,NULL
212,147,567,NULL
213,148,567,NULL
214,149,567,NULL
215,150,567,NULL
216,151,567,NULL
217,152,567,NULL
218,153,567,NULL
219,154,567,NULL
220,155,567,NULL
221,156,567,NULL
222,157,567,NULL
223,158,567,NULL
224,129,888,NULL
225,130,888,NULL
226,131,888,NULL
227,132,888,NULL
228,133,888,NULL
229,134,888,NULL
230,135,888,NULL
231,136,888,NULL
232,137,888,NULL
233,138,888,NULL
234,139,888,NULL
235,140,888,NULL
236,141,888,NULL
237,142,888,NULL
238,143,888,NULL
239,144,888,NULL
240,145,888,NULL
241,146,888,NULL
242,147,888,NULL
