MimotopeSetID,FileName
289,2005Jul04-1010001OOaahnAAAL-AAFL
290,2005Jan01-1010016OOaahoAAAL-AAFM
291,2005Jul29-1010001OOaahpAAAL-AAFN
292,2005Jul29-1010001OOaahpAABR-AAFN
293,2005Aug01-1010001OOaahqAAAL-AAFO
294,2005Mar14-1010002OOaahrAAAL-AAFP
295,2005Mar14-1010001OOaahrAAAL-AAFP
296,2005Apr01-1010002OOaaekAAAL-AAFQ
297,2005AugXX-1010069OOaahsAAAL-AAFR
298,2005Mar30-1010070OOaahtAAAL-AAFS
299,2004Feb01-1010071OOaahuAAAL-AAFT
300,2004Feb01-1010071OOaahvAAAL-AAFT
301,2004Feb01-1010071OOaahwAAAL-AAFT
302,2004Nov30-1010001OOaahxAAAL-AAFU
303,2004Nov30-1010001OOaahyAAAL-AAFU
304,2004Nov30-1010001OOaahzAAAL-AAFU
305,2004Nov30-1010001OOaaiaAAAL-AAFU
306,2004Apr09-1010011OOaaibAAAL-AAFV
307,2004MayXX-1010016OOaaicAABS-AAFW
308,2004MayXX-1010016OOaaicAABT-AAFW
309,2004MarXX-1010072OOaaidAAAL-AAFX
310,2004Nov01-1010005OOaaieAAAL-AAFY
311,2004Nov01-1010005OOaaieAAAL-AAFY
312,2004Sep30-1010001OOaaifAAAL-AAFZ
313,2004Aug04-1010001OOaaigAAAL-AAGA
314,1996Jul23-1010073OOaaihAAAL-AAGB
315,1996Jul23-1010073OOaaiiAAAL-AAGB
316,1994Sep30-1010028OOaaijAAAL-AAGC
317,2005XXXX-1010074OOaaikAAAL-AAGD
318,2005XXXX-1010074OOaailAAAL-AAGD
319,2005XXXX-1010074OOaaimAAAL-AAGD
320,2004Feb01-1010017OOaainAAAL-AAGE
321,2006Mar01-1010001OOaaioAAAL-AAGF
322,2005DecXX-1010001OOaaipAAAL-AAGG
323,2000May05-1010075OOaaiqAABU-AAGH
324,2000May05-1010075OOaaiqAABV-AAGH
325,2004Mar12-1010001OOaairAAAL-AAGI
326,2004Mar12-1010001OOaaisAAAL-AAGI
327,2004Mar12-1010001OOaaitAAAL-AAGI
328,2004Mar12-1010001OOaaiuAAAL-AAGJ
329,2006AprXX-1010062OOaaivAAAL-AAGK
330,2006AprXX-1010073OOaaivAAAL-AAGK
331,2006AprXX-1010062OOaaiiAAAL-AAGK
332,2006AprXX-1010073OOaaiiAAAL-AAGK
333,2007AprXX-1010076OOaaiwAAAL-AAGL
334,2009MayXX-1010002OOaaixAAAL-AAGM
335,2009MayXX-1010001OOaaixAAAL-AAGM
336,2009MayXX-1010002OOaaiyAAAL-AAGM
337,2004Dec15-1010075OOaaizAAAL-AAGN
338,2004Dec15-1010075OOaajaAAAL-AAGN
339,2004Dec15-1010075OOaajbAAAL-AAGN
340,2004Dec15-1010075OOaajcAAAL-AAGN
341,2004Dec15-1010075OOaajdAAAL-AAGN
342,2004Dec15-1010075OOaajeAAAL-AAGN
343,2007MayXX-1010077OOaaadAABW-AAGO
344,2005Jan01-1010065OOaajfAAAL-AAGP
345,2005Jan01-1010065OOaajfAAAL-AAGP
346,2009MayXX-1010002OOaajgAAAL-AAGQ
347,2006Aug01-1010078OOaajhAAAL-AAGR
348,2006Aug01-1010078OOaajiAAAL-AAGR
349,2006Aug01-1010078OOaajjAAAL-AAGR
350,2006Aug01-1010078OOaajkAAAL-AAGR
351,2006Aug01-1010078OOaajlAAAL-AAGR
352,2006Aug01-1010078OOaajmAAAL-AAGR
353,2006Oct03-1010002OOaajnAABX-AAGS
354,2005Feb18-1010005OOaajnAABY-AAGT
355,2007MayXX-1010005OOaajoAAAL-AAGU
356,2006OctXX-1010002OOaajpAAAL-AAGV
357,2010Oct04-1010002OOaajqAABZ-AAGW
358,2008MayXX-1010079OOaajrAACA-AAGX
359,2007Dec01-1010080OOaajsAACB-AAGY
360,2007MarXX-1010001OOaajtAACC-AAGZ
361,2007Dec21-1010081OOaajuAAAL-AAHA
362,2007Dec21-1010081OOaajvAAAL-AAHA
363,2007Dec21-1010082OOaajvAAAL-AAHA
364,2007DecXX-1010002OOaajwAAAL-AAHB
365,2007DecXX-1010002OOaajxAACD-AAHB
366,2007Apr13-1010083OOaajyAACE-AAHC
367,2013Oct10-1010084OOaajzAACF-AAHD
368,2013Oct10-1010084OOaajzAACG-AAHD
369,2007NovXX-1010002OOaakaAACH-AAHE
370,2007NovXX-1010002OOaakbAAAL-AAHF
371,2007MarXX-1010085OOaakcAAAL-AAHG
372,2007MarXX-1010086OOaakcAACI-AAHG
373,2007Mar18-1010002OOaakdAACJ-AAHH
374,2011XXXX-1010087OOaakeAACK-AAHI
375,2007Jul25-1010002OOaakfAACL-AAHJ
376,2010Oct04-1010088OOaakgAACM-AAHK
377,2007MarXX-1010075OOaakhAACN-AAHL
378,2007Nov15-1010001OOaakiAACO-AAHM
379,2007Apr01-1010089OOaakjAAAL-AAHN
380,2007Apr01-1010090OOaakjAAAL-AAHN
381,2005Oct07-1010091OOaakkAACP-AAHO
382,2005Oct07-1010092OOaakkAACQ-AAHO
383,2013Mar06-1010001OOaaklAACR-AAHP
384,2007NovXX-1010001OOaakmAACS-AAHQ
385,2007Mar02-1010001OOaaknAAAL-AAHR
386,2007Apr12-1010017OOaakoAAAL-AAHS
387,2007Oct26-1010002OOaakpAAAL-AAHT
388,2007Oct26-1010002OOaakqAAAL-AAHT
389,2007Oct26-1010002OOaakrAAAL-AAHT
390,2007Oct26-1010002OOaaksAAAL-AAHT
391,2007Dec01-1010005OOaaktAAAL-AAHU
392,2007Dec01-1010005OOaakuAAAL-AAHU
393,2013Mar06-1010035OOaakvAAAL-AAHV
394,2013Mar06-1010001OOaakwAACT-AAHW
395,2007NovXX-1010001OOaakxAAAL-AAHX
396,2007AprXX-1010005OOaakyAAAL-AAHY
397,2007Sep01-1010001OOaakzAACU-AAHZ
398,2010Oct04-1010001OOaalaAACV-AAIA
399,2010Oct04-1010001OOaalaAACW-AAIA
400,2010Oct04-1010001OOaalaAACX-AAIA
401,2010Oct04-1010001OOaalbAACY-AAIB
402,2008MayXX-1010017OOaalcAACZ-AAIC
403,2008MayXX-1010002OOaaldAADA-AAID
404,2007AprXX-1010002OOaaleAADB-AAIE
405,2007Oct15-1010001OOaalfAADC-AAIF
406,2007JunXX-1010001OOaalgAADD-AAIG
407,2014Apr29-1010002OOaalhAADE-AAIH
408,2014Apr29-1010002OOaalhAADE-AAIH
409,2010AugXX-1010064OOaaliAADF-AAII
410,2010AugXX-1010039OOaaliAADF-AAII
411,2013Oct10-1010001OOaaljAADG-AAIJ
412,2011XXXX-1010001OOaalkAADH-AAIK
413,2011XXXX-1010001OOaallAADH-AAIK
414,2011XXXX-1010001OOaalmAADH-AAIK
415,2007JulXX-1010005OOaalnAADI-AAIL
416,2006FebXX-1010005OOaaloAAAL-AAIM
417,2007Jun22-1010005OOaalpAAAL-AAIN
418,2007Jun22-1010005OOaalpAADJ-AAIN
419,2007NovXX-1010016OOaalqAADK-AAIO
420,2007JunXX-1010001OOaalrAAAL-AAIG
421,2013Oct10-1010016OOaafeAADL-AAIP
422,2013Oct10-1010016OOaafeAADL-AAIP
423,2013Oct10-1010016OOaafeAADM-AAIP
424,2013Oct10-1010016OOaafeAADM-AAIP
425,2008SepXX-1010093OOaalsAADN-AAIQ
426,2008SepXX-1010094OOaalsAADN-AAIQ
427,2008Jul10-1010095OOaaltAAAL-AAIR
428,2000XXXX-1010005OOaaluAADO-AAIS
