MimotopeSetID,FileName
118,19941201-1010042OOaadhAAAL-AACW
119,19941201-1010042OOaadiAAAL-AACW
120,19941201-1010042OOaadjAAAL-AACW
121,19941201-1010043OOaadfAAAL-AACW
122,19941201-1010043OOaadgAAAL-AACW
123,19941201-1010043OOaadhAAAL-AACW
124,19941201-1010043OOaadiAAAL-AACW
125,19941201-1010044OOaadjAAAL-AACW
126,20050930-1010045OOaadkAAAL-AACX
127,20050930-1010045OOaadkAAAL-AACX
128,20050930-1010046OOaadkAAAL-AACX
129,20140900-1010045OOaadlAAAL-AACY
130,20140900-1010045OOaadmAAAL-AACY
131,20140900-1010045OOaadnAAAL-AACY
132,20140900-1010045OOaadoAAAL-AACY
133,20140900-1010046OOaadlAAAL-AACY
134,20140900-1010046OOaadmAAAL-AACY
135,20140900-1010046OOaadnAAAL-AACY
136,20140900-1010046OOaadoAAAL-AACY
137,20140900-1010046OOaadpAAAL-AACY
138,20030615-1010001OOaadqAAAL-AACZ
139,19960719-1010025OOaadrAAAL-AADA
140,19990215-1010002OOaadsAAAL-AADB
141,19990215-1010001OOaadsAAAL-AADB
142,19990215-1010005OOaadsAAAL-AADB
143,19990215-1010002OOaadtAAAL-AADB
144,19990215-1010001OOaadtAAAL-AADB
145,19990215-1010005OOaadtAAAL-AADB
146,19971124-1010001OOaaduAAAX-AADC
147,20060000-1010016OOaadvAAAL-AADD
148,19940930-1010002OOaadwAAAL-AADE
149,19971124-1010005OOaadxAAAY-AADF
150,19971124-1010005OOaadxAAAZ-AADF
151,19971124-1010005OOaadxAABA-AADF
152,19971124-1010005OOaadxAABB-AADF
153,19971124-1010005OOaadxAABC-AADF
154,20080500-1010002OOaadyAAAL-AADG
155,20050415-1010001OOaadzAAAL-AADH
156,20060301-1010047OOaaeaAAAL-AADI
157,20060301-1010001OOaaebAAAL-AADJ
158,20060301-1010001OOaaecAAAL-AADJ
159,20140900-1010048OOaaedAAAL-AADK
160,20140900-1010048OOaaeeAAAL-AADK
161,20140900-1010048OOaaefAAAL-AADK
162,20040423-1010049OOaaegAAAL-AADL
163,20050715-1010002OOaaehAAAL-AADM
164,20040820-1010001OOaaeiAAAL-AADN
165,20010900-1010002OOaaejAAAL-AADO
166,20060000-1010002OOaaekAABD-AADP
167,20060000-1010002OOaaekAABE-AADP
168,19951201-1010050OOaaelAAAL-AADQ
170,19951201-1010050OOaaenAAAL-AADQ
171,19951201-1010050OOaaenAAAL-AADQ
172,19951201-1010050OOaaeoAAAL-AADQ
173,19951201-1010050OOaaeoAAAL-AADQ
174,19940800-1010051OOaaepAAAL-AADR
175,19940800-1010052OOaaepAAAL-AADR
176,19940800-1010053OOaaepAAAL-AADR
177,20030404-1010017OOaaeqAAAL-AADS
178,20030404-1010017OOaaerAAAL-AADS
179,20030404-1010017OOaaesAAAL-AADS
180,20030404-1010017OOaaetAAAL-AADS
181,20030404-1010017OOaaetAAAL-AADS
182,20030404-1010017OOaaetAAAL-AADS
183,20060301-1010054OOaaeuAAAL-AADT
184,20030905-1010055OOaaevAAAL-AADU
185,20031114-1010056OOaaewAAAL-AADV
186,20031114-1010057OOaaexAAAL-AADV
187,20031114-1010057OOaaeyAAAL-AADV
188,20050900-1010005OOaaezAAAL-AADW
189,20040400-1010032OOaafaAAAL-AADX
190,20040400-1010033OOaafaAAAL-AADX
191,20040400-1010032OOaafbAAAL-AADX
192,20040400-1010033OOaafbAAAL-AADX
193,20040400-1010032OOaafcAAAL-AADX
194,20040400-1010033OOaafcAAAL-AADX
195,20040400-1010032OOaafdAAAL-AADX
196,20040400-1010033OOaafdAAAL-AADX
197,20040709-1010055OOaafeAAAL-AADY
198,20050900-1010001OOaaffAAAL-AADZ
199,20051007-1010002OOaafgAAAL-AAEA
200,20051007-1010002OOaafhAAAL-AAEA
201,20041015-1010009OOaafiAAAL-AAEB
202,20050415-1010038OOaafjAAAL-AAEC
203,20060700-1010058OOaafkAAAL-AAED
204,20160200-1010002OOaaflAAAL-AAEE
205,20160200-1010005OOaaflAAAL-AAEE
206,20050117-1010005OOaafmAAAL-AAEF
207,20050117-1010005OOaafnAAAL-AAEF
208,20050812-1010001OOaafoAAAL-AAEG
209,20050831-1010001OOaafpAAAL-AAEH
210,20050831-1010001OOaafpAAAL-AAEH
211,20050831-1010001OOaafpAAAL-AAEH
212,20050831-1010001OOaafpAABF-AAEH
213,20050831-1010001OOaafqAABG-AAEH
214,20050831-1010001OOaafqAABG-AAEH
215,20050831-1010001OOaafqAABH-AAEH
216,20050831-1010001OOaafrAABG-AAEH
217,20060700-1010059OOaafsAAAL-AAEI
218,20060700-1010059OOaafsAAAL-AAEI
219,20060700-1010059OOaafsAAAL-AAEI
220,20060615-1010060OOaaftAAAL-AAEJ
221,20060615-1010060OOaafuAAAL-AAEJ
222,20060615-1010060OOaafvAAAL-AAEJ
